City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,Khabary,53.6259,79.5345,64.13,47,100,10.22,RU,2022-05-21 19:33:17
314,Hovd,48.0056,91.6419,57.33,29,8,0.83,MN,2022-05-21 19:33:17
315,Viedma,-40.8135,-62.9967,63.68,34,1,13.29,AR,2022-05-21 19:33:17
316,Faya,18.3851,42.4509,75.31,15,2,6.87,SA,2022-05-21 19:33:18
317,Obigarm,38.7173,69.7088,56.64,72,86,7.31,TJ,2022-05-21 19:33:18
318,Dengzhou,37.8086,120.7508,66.7,55,2,11.92,CN,2022-05-21 19:33:19
319,Sokolo,14.7328,-6.1219,99.59,20,49,6.98,ML,2022-05-21 19:33:19
320,Mbanza-Ngungu,-5.25,14.8667,69.12,86,93,3.6,CD,2022-05-21 19:33:19
321,Souillac,-20.5167,57.5167,75.58,73,40,8.05,MU,2022-05-21 19:34:20
322,Prince Rupert,54.3161,-130.3201,57.29,74,0,5.75,CA,2022-05-21 19:34:20
323,Olafsvik,64.8945,-23.7142,43.3,81,79,19.01,IS,2022-05-21 19:34:20
324,Puerto Madryn,-42.7692,-65.0385,63.7,37,100,17.09,AR,2022-05-21 19:29:44
325,Mount Gambier,-37.8333,140.7667,44.37,93,6,4.83,AU,2022-05-21 19:34:21
326,Hobbs,32.7026,-103.136,73.81,24,0,12.66,US,2022-05-21 19:34:21
327,Voh,-20.9667,164.7,75.02,88,100,3.24,NC,2022-05-21 19:34:22
328,Baishishan,43.5833,127.5667,48.87,77,63,3.29,CN,2022-05-21 19:34:22
329,Baykit,61.67,96.37,44.82,90,100,8.9,RU,2022-05-21 19:34:22
330,Ylojarvi,61.5563,23.5961,51.78,44,0,5.75,FI,2022-05-21 19:34:23
331,Uberlandia,-18.9186,-48.2772,70.81,26,0,5.75,BR,2022-05-21 19:29:39
332,Rabo De Peixe,37.8,-25.5833,63.91,100,100,5.75,PT,2022-05-21 19:34:23
333,Skjervoy,70.0311,20.9714,46.4,86,100,2.19,NO,2022-05-21 19:34:24
334,Matamoros,25.5333,-103.25,89.71,8,0,8.05,MX,2022-05-21 19:34:24
335,Dunedin,-45.8742,170.5036,47.8,70,100,14.0,NZ,2022-05-21 19:30:05
336,Coihaique,-45.5752,-72.0662,40.95,87,100,4.61,CL,2022-05-21 19:34:24
337,Oktyabrskoye,43.0645,44.7417,48.34,81,28,8.95,RU,2022-05-21 19:34:25
338,Patamundai,20.5667,86.5667,85.06,80,98,8.9,IN,2022-05-21 19:34:25
339,Beringovskiy,63.05,179.3167,36.09,89,100,8.19,RU,2022-05-21 19:34:26
340,Jiaohe,43.7286,127.3447,49.32,78,56,2.24,CN,2022-05-21 19:34:26
341,Tecoanapa,16.5167,-98.75,85.1,56,5,10.92,MX,2022-05-21 19:34:27
342,Codrington,-38.2667,141.9667,43.39,93,6,7.31,AU,2022-05-21 19:34:27
343,Arcata,40.8665,-124.0828,63.19,69,0,8.05,US,2022-05-21 19:34:27
344,Batemans Bay,-35.7167,150.1833,55.09,88,95,4.85,AU,2022-05-21 19:34:28
