City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
95,Brae,GB,60.3964,-1.353,52.25,72,72,7.49,broken clouds
96,Dikson,RU,73.5069,80.5464,19.11,87,9,8.03,clear sky
97,Tsabong,BW,-26.0217,22.401,62.94,50,3,5.55,clear sky
98,Souillac,MU,-20.5167,57.5167,74.64,70,73,15.32,broken clouds
99,College,US,64.8569,-147.8028,50.2,49,0,1.99,clear sky
100,Zaysan,KZ,47.4667,84.8667,61.54,48,100,3.65,overcast clouds
101,Ascoli Piceno,IT,42.8548,13.5749,81.01,63,17,3.58,few clouds
102,Morant Bay,JM,17.8815,-76.4093,91.71,68,99,12.8,overcast clouds
103,Bolitoc,PH,15.7395,119.8769,79.59,84,96,9.55,overcast clouds
104,Dunedin,NZ,-45.8742,170.5036,52.81,60,11,4.0,few clouds
105,Awjilah,LY,29.1081,21.2869,86.23,8,0,6.67,clear sky
106,Tocopilla,CL,-22.092,-70.1979,67.19,70,14,4.56,few clouds
107,Mackay,AU,-21.15,149.2,68.68,89,40,13.42,scattered clouds
108,Arraial Do Cabo,BR,-22.9661,-42.0278,72.93,70,3,18.25,clear sky
109,Bershet,RU,57.7309,56.3783,45.66,80,69,3.65,broken clouds
110,Codrington,AU,-38.2667,141.9667,49.23,85,4,6.73,clear sky
111,Bama,NG,11.5221,13.6856,100.33,8,65,12.57,broken clouds
112,Port Hardy,CA,50.6996,-127.4199,49.14,90,100,10.02,overcast clouds
113,Sur,OM,22.5667,59.5289,91.0,52,0,4.92,clear sky
114,Mount Gambier,AU,-37.8333,140.7667,49.03,87,5,5.95,clear sky
115,Kardla,EE,58.9978,22.7492,53.15,51,5,3.47,clear sky
116,Vaitape,PF,-16.5167,-151.75,81.07,72,10,14.65,clear sky
117,Amasya,TR,40.6667,35.8333,55.08,92,98,3.67,overcast clouds
118,Dingle,PH,10.9995,122.6711,76.6,88,78,1.68,broken clouds
119,Mogwase,ZA,-25.185,27.2665,62.4,43,6,8.14,clear sky
120,Seoul,KR,37.5683,126.9778,61.99,66,31,2.64,scattered clouds
121,Otane,NZ,-39.8833,176.6333,40.68,89,0,2.51,clear sky
122,Nyagan,RU,62.1406,65.3936,41.38,79,87,4.5,overcast clouds
123,Dzhebariki-Khaya,RU,62.2167,135.8,37.92,91,65,4.21,broken clouds
124,Chuy,UY,-33.6971,-53.4616,63.88,59,87,4.74,overcast clouds
125,San Cristobal,VE,7.7669,-72.225,84.31,44,17,6.98,few clouds
126,Baker City,US,44.7749,-117.8344,55.6,58,96,3.15,overcast clouds
127,Vao,NC,-22.6667,167.4833,72.21,79,100,21.41,overcast clouds
128,Talnakh,RU,69.4865,88.3972,34.32,94,100,2.21,overcast clouds
129,Mayo,US,38.8876,-76.5119,75.13,57,0,8.05,clear sky
130,Tuktoyaktuk,CA,69.4541,-133.0374,21.2,79,100,9.22,overcast clouds
131,Baykit,RU,61.67,96.37,56.1,63,15,3.22,few clouds
132,Magadan,RU,59.5667,150.8,33.75,97,100,2.21,overcast clouds
133,Shelburne,CA,44.0787,-80.2041,54.3,54,100,7.7,overcast clouds
134,Charters Towers,AU,-20.1,146.2667,65.12,77,96,11.43,overcast clouds
135,Anloga,GH,5.7947,0.8973,82.87,71,82,7.65,broken clouds
136,Hilo,US,19.7297,-155.09,76.28,85,31,1.01,scattered clouds
137,Illapel,CL,-31.6308,-71.1653,70.3,36,100,5.55,overcast clouds
138,Juneau,US,58.3019,-134.4197,49.21,97,100,3.89,moderate rain
139,Rome,US,34.257,-85.1647,71.47,96,100,4.0,light rain
140,Kulu,TR,39.0951,33.0799,60.57,48,54,16.13,broken clouds
141,Kiunga,PG,-6.1219,141.2906,72.99,99,68,1.54,broken clouds
142,Machilipatnam,IN,16.1667,81.1333,93.2,49,44,14.03,scattered clouds
143,Naze,JP,28.3667,129.4833,61.92,88,100,13.62,light rain
144,Acapulco,MX,16.8634,-99.8901,85.82,66,0,10.36,clear sky
145,Valparaiso,CL,-33.0393,-71.6273,59.47,65,100,7.05,overcast clouds
146,Morros,BR,-9.4467,-46.3003,89.64,33,1,6.73,clear sky
147,Qaanaaq,GL,77.484,-69.3632,34.77,75,91,5.55,overcast clouds
148,Port Lincoln,AU,-34.7333,135.8667,62.42,67,86,13.29,overcast clouds
149,Carnarvon,AU,-24.8667,113.6333,71.51,60,31,10.89,scattered clouds
150,Carutapera,BR,-1.195,-46.02,81.36,86,43,6.17,heavy intensity rain
151,Sobolevo,RU,54.4299,31.8996,50.5,71,21,8.99,few clouds
152,Nelson Bay,AU,-32.7167,152.15,59.0,97,96,5.06,overcast clouds
153,Matay,EG,28.419,30.7792,84.65,14,0,9.13,clear sky
154,Gat,IL,31.61,34.7642,72.79,44,0,4.56,clear sky
155,La Palma,US,33.8464,-118.0467,67.05,82,100,4.61,overcast clouds
156,Yar-Sale,RU,66.8333,70.8333,38.91,94,100,4.38,overcast clouds
157,Santiago Del Estero,AR,-27.7951,-64.2615,78.46,32,4,13.33,clear sky
158,Qostanay,KZ,53.1667,63.5833,59.29,82,40,8.95,scattered clouds
159,Castro,BR,-24.7911,-50.0119,66.81,42,99,4.68,overcast clouds
160,Chokurdakh,RU,70.6333,147.9167,31.84,95,100,1.5,overcast clouds
161,Nikolskoye,RU,59.7035,30.7861,58.89,61,29,4.85,scattered clouds
162,Buraydah,SA,26.326,43.975,93.49,12,22,18.37,few clouds
163,Nemuro,JP,43.3236,145.575,45.3,88,99,15.97,overcast clouds
164,Hambantota,LK,6.1241,81.1185,80.26,83,98,17.65,overcast clouds
165,Nuuk,GL,64.1835,-51.7216,30.81,93,100,25.01,light snow
166,Mahebourg,MU,-20.4081,57.7,75.25,68,72,16.55,broken clouds
167,Touros,BR,-5.1989,-35.4608,80.89,81,46,12.59,light rain
168,Harper,LR,4.375,-7.7169,79.57,82,74,8.88,light rain
169,Ca Mau,VN,9.1769,105.15,78.76,86,100,2.8,overcast clouds
170,Inongo,CD,-1.95,18.2667,73.15,94,100,2.8,light rain
171,Provideniya,RU,64.3833,-173.3,47.05,52,100,2.86,overcast clouds
172,Bengkulu,ID,-3.8004,102.2655,77.95,85,95,4.43,light rain
173,Udachnyy,RU,66.4167,112.4,43.41,78,100,18.54,overcast clouds
174,Hajnowka,PL,52.7433,23.5812,58.86,65,53,4.12,broken clouds
175,Primo Tapia,MX,32.22,-116.9172,65.79,69,37,6.53,scattered clouds
176,Batticaloa,LK,7.7102,81.6924,83.43,67,95,6.82,overcast clouds
177,Lagoa,PT,39.05,-27.9833,61.54,86,100,16.51,overcast clouds
178,Bowen,AU,-20.0167,148.2333,67.15,89,1,6.8,clear sky
179,Severo-Kurilsk,RU,50.6789,156.125,40.71,98,100,14.83,light rain
180,Port Augusta,AU,-32.5,137.7667,56.79,66,8,5.08,clear sky
181,Nanortalik,GL,60.1432,-45.2371,35.73,79,94,14.16,overcast clouds
182,Kathmandu,NP,27.7167,85.3167,66.42,88,20,3.44,few clouds
183,Lakselv,NO,70.0513,24.9718,55.22,50,0,14.97,clear sky
184,Kutoarjo,ID,-7.7169,109.9128,76.86,89,99,3.11,overcast clouds
185,Tessalit,ML,20.1986,1.0114,98.92,15,1,14.76,clear sky
186,Hamilton,US,39.1834,-84.5333,62.31,66,100,5.99,overcast clouds
187,Ahipara,NZ,-35.1667,173.1667,53.82,69,66,5.08,broken clouds
188,Cairns,AU,-16.9167,145.7667,73.35,93,100,8.05,overcast clouds
189,Sidney,AU,-33.8679,151.2073,56.71,88,75,8.05,heavy intensity shower rain
190,Jibuti,DJ,11.5,42.5,93.36,20,24,6.73,few clouds
191,Sioux Lookout,CA,50.1001,-91.917,59.04,34,32,8.99,scattered clouds
192,Saint George,US,37.1041,-113.5841,75.79,19,0,4.0,clear sky
193,Lebu,CL,-37.6167,-73.65,50.92,71,100,0.98,overcast clouds
194,Kenai,US,60.5544,-151.2583,53.02,91,100,13.8,mist
195,Saldanha,ZA,-33.0117,17.9442,60.24,88,38,4.79,scattered clouds
196,Mandalgovi,MN,45.7625,106.2708,63.07,37,100,16.49,overcast clouds
197,San Patricio,US,28.017,-97.5169,86.72,48,47,14.05,scattered clouds
198,Djibo,BF,14.1022,-1.6306,95.9,24,18,11.12,few clouds
199,Dospat,BG,41.65,24.1667,54.07,86,93,2.93,overcast clouds
200,Labuhan,ID,-6.8844,112.2051,80.2,83,100,9.46,overcast clouds
201,Kushmurun,KZ,52.4503,64.6311,66.52,47,62,21.21,broken clouds
202,Tuensang,IN,26.2833,94.8333,65.84,96,31,2.17,scattered clouds
203,Cherskiy,RU,68.75,161.3,50.31,52,96,15.08,overcast clouds
204,Fortuna,US,40.5982,-124.1573,57.92,84,75,10.36,broken clouds
205,Vila Franca Do Campo,PT,37.7167,-25.4333,68.2,84,99,6.13,overcast clouds
206,Inhambane,MZ,-23.865,35.3833,64.8,82,0,7.25,clear sky
207,Kruisfontein,ZA,-34.0033,24.7314,59.88,84,71,4.34,broken clouds
208,Sitka,US,57.0531,-135.33,45.68,89,100,4.32,light rain
209,Kahului,US,20.8947,-156.47,76.84,82,10,11.01,clear sky
210,Airai,TL,-8.9266,125.4092,59.36,82,47,2.64,scattered clouds
211,Kapit,MY,2.0167,112.9333,74.88,96,96,0.76,overcast clouds
212,Bilma,NE,18.6853,12.9164,98.01,7,99,4.85,overcast clouds
213,Grong,NO,64.4654,12.3149,63.68,49,94,14.05,light rain
214,Olinda,BR,-8.0089,-34.8553,80.33,83,75,13.8,light rain
215,Nizhniy Kuranakh,RU,58.8353,125.4869,41.52,75,17,3.33,few clouds
216,Asau,RO,46.4333,26.4,60.28,89,93,1.28,overcast clouds
217,Cotonou,BJ,6.3654,2.4183,83.48,69,90,6.42,overcast clouds
218,Yako,BF,12.9667,-2.2667,91.74,32,62,12.59,broken clouds
219,Sabinopolis,BR,-18.6661,-43.0839,75.87,38,7,4.5,clear sky
220,Vanavara,RU,60.34,102.2797,52.63,70,49,5.64,scattered clouds
221,Santo Estevao,BR,-12.4303,-39.2514,71.85,80,100,5.99,overcast clouds
222,Kirakira,SB,-10.4544,161.9205,79.25,84,48,5.5,scattered clouds
223,Sakakah,SA,29.9697,40.2064,80.42,21,0,13.02,clear sky
224,Sarangani,PH,5.4033,125.4636,82.76,73,81,3.04,broken clouds
225,Mezen,RU,65.8522,44.24,30.61,93,100,13.51,light snow
